id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgwijGlmM1wXg9YF9Tl4AaABAg,Redline Reviews,1 year ago,1523820811168,"Hey guys! There is a way you can leave the tachometer always on while scrolling through the other functions in the instrument panel. Keep in mind, we have very limited time with the car during these media events but we did catch the video from HondaPro Jason showing how to change that setting.",474,true,64,,,,,,
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YCb60jFozG,Jia L.,1 year ago,1523820812020,Hey there! Do you think the 2018 Accord Touring is better than the 2018 Acura TLX V6 with the A-Spec package? Serious question. Or should I wait for the next gen TLX?,11
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YCiRlyzawB,Battosai Jenkins,1 year ago,1523820812021,"@Redline Reviews, Hi at 21:21 you completely forgot about the Hyundai Elantra sport sedan with premium package. Remember that? You even praised that car cmon!!",3
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YCjR8i8DVr,manuel meza,1 year ago,1523820812022,"Good, I was going to say it would be pretty annoying if you couldn't have the tach always on in the manual. So glad they offer the manual too! :)",1
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YCtIaKTOMa,Emet Playz,1 year ago,1523820812024,The sound reminded me of a type r,1
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YD6hBtpDcZ,Nutts Mahonie,1 year ago,1523820812025,Redline Reviews Good job,1
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YDD40vzrla,The last Samurai,1 year ago,1523820812027,Redline Reviews as always best review....can u please do the review on 2018 hyundai elantra gt sport....,1
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YDKz6RcAno,IllNinoAK47,1 year ago,1523820812028,Hey the Tachometer can be set on with the information in the middle. Its an option on the settings on the navigation. 👍😎,1
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YDMyz33Zak,Mahesh,1 year ago,1523820812029,"Redline Reviews 

Hi can you please tell if height can be adjusted for front passenger. Even manually !?",2
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YDP5Bh_BjR,Alex C,1 year ago,1523820812031,Redline Reviews  nice ! Good to hear. Most definitely appreciative of your reviews. I’m due for a car upgrade in January and this channel has been a pretty good source to me !! thanks so much.,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YDPCH76TeA,Alex C,1 year ago,1523820812032,Jia L.  Same question here. 🤔🤔🤔🤔,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YDVJqUmwkm,The Camouflage31,1 year ago,1523820812033,"Redline Reviews 
Nice Review man. Comes the accord back to europe?",0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YDiocweRrr,JortsRider,1 year ago,1523820812034,Thank you! I'm a 6MT buyer and that would drive me crazy.,1
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YDl7ciPUjH,Redline Reviews,1 year ago,1523820812036,Mahesh Passenger seat is only a 4-way.,4
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YDmWvscj9l,PF3978,1 year ago,1523820812037,Redline Reviews I,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YE0K8CYIav,Killer stuff on the Internet.,1 year ago,1523820812039,lease it,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YE1Xv6GqnL,Mahesh,1 year ago,1523820812040,Redline Reviews thanks for the reply !,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YETooXnB6i,Sean Pittacora,1 year ago,1523820812041,Redline Reviews Honda has done this in the last bit I wish they offered the Accord in the Touring trim with the stick.  That would be cool to get cooled seats as well as other luxury features with the stick.,3
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YEg74kcz8U,Seramics,1 year ago,1523820812043,Great review videos Redline. I watched both the review of the 2018 Camry and this 2018 Accord and I cant tell which has better dynamics. So which car drives better and which is faster? The 2018 Accord or 2018 Camry which is surprisingly sporty?,1
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YEnMcQWiJH,rasheed1669,1 year ago,1523820812044,camry has nicer interior and dash,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YEu3jhxjv3,Beach5and,1 year ago,1523820812045,The Subaru Legacy was available in stick shift until 2017 - in Canada only.,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YF6wEalRP7,Fadic4,1 year ago,1523820812047,elantra competes with civic not accord......,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YGirmM6rzz,JortsRider,1 year ago,1523820812048,"Fadic 4 obviously, I did not say it was a competitor, I said I hate the tail lights on the Accord, they look cheap and boring like an Elantra, perhaps even worse.",0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YHLKRbvwLe,Jason Suthern,1 year ago,1523820812049,I was about to say! Honda Pro Jason is the human owners manual.,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YLnYBn9ZCc,22ddavyd,1 year ago,1523820812051,"Redline Reviews 
You can still have the tachometer in view despite changing the look of the gauges. This can be done in the settings menu..",0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YRDE1DMyll,1QuickSlovak,1 year ago,1523820812052,"I think the TLX A-Spec looks better, but I much prefer the new Accord otherwise. The 2.0T + 10AT combination is quite good. The Honda 10AT is better than the ZF 9AT in every way. The TLX has the delicious V6, but the 9AT lets it down. I also prefer the infotainment in the Accord/Odyssey to the dual screen fiasco in the Acura.
FYI The manuals always have more wheelspin, wheel hop, and torque steer than the automatics, because the autos limit engine torque to prevent/reduce that from happening.",1
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YTcsJ1SNmp,Eddie Figueroa,1 year ago,1523820812054,"Redline Reviews I’m curious to know if the engine and turbo together will last as long as the v6,  do you think the power will be reduced in the turbo and engine substantially more than v6 after 100,000k? I want to buy one but I just feel like the turbo won’t have same power after so many miles on it",1
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YWCHeGTQs0,TheTallDriver,1 year ago,1523820812055,how tall are you?,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8Yd4W6BgKHQ,Taskmaster,1 year ago,1523820812056,You can set the Tachometer to stay on while another app is on.  Its set to cut off by default in the options setting.  You just have to turn it on.,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8Yq2UEN-lUw,Honda of Danbury,1 year ago,1523820812058,"Redline Reviews 

Hello. I just want to know if you can please tell how to be an auto journalist like you. you are my favorite one. I watch them all. kbb. edmunds. tfl and more. but you are my favorite cause you are really good. I am in auto sales now I live the auto industry and love to watch the videos.",0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YvBm2LQ6FA,Rochell Hodges,1 year ago,1523820812059,Redline Reviews Honda Accord with everything loaded.,0
,,,,,,,,UgwijGlmM1wXg9YF9Tl4AaABAg.8YCRZnyKORA8YvBuCHgXJG,Rochell Hodges,1 year ago,1523820812060,Redline Reviews 8series,0
