id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgworvoRyVuRc1TrscZ4AaABAg,jeff ghant,1 day ago,1555508050933,"Damn, my camry is a 2003. I need this so bad. I hate my life!!",0,false,0,,,,,,
UgxRZjM9-LUWIYusPdt4AaABAg,Kyron Poullard,4 days ago,1555248850935,Eh. It still looks like a Toyota. I love the traditional design departure Honda took,0,false,0,,,,,,
UgzLiXfHz-9Efz--mpV4AaABAg,Ben Steer,6 days ago,1555076050937,What road is that in Portland?!,0,true,1,,,,,,
,,,,,,,,UgzLiXfHz-9Efz--mpV4AaABAg.8tbi2Mh4Idh8tgzrOm-kYr,Ben Steer,4 days ago,1555248851227,Trying to read the sign at 13:33,0
UgwPedaeZoCBP9Rh6Ep4AaABAg,Ernest Hin,6 days ago,1555076050940,I don't like the new look. They were fine until 2014,0,false,0,,,,,,
UgytDpUSlIDuEW2zdPl4AaABAg,Julio Cesar,1 week ago,1554989650942,2019 Toyota Camry XSE review ?,0,false,0,,,,,,
Ugzm3Do_YBekhm52bFt4AaABAg,Leon Rzrm,1 week ago,1554989650944,"These new Camrys has shift delay when drive after stop which is not normal thing and annoying.. I'm an owner of 2018 Camry se, am disappointed with transmission..",0,true,1,,,,,,
,,,,,,,,Ugzm3Do_YBekhm52bFt4AaABAg.8tMIC13FzLb8tSSeBBMkxo,Ro0ster,1 week ago,1554989651211,"How many miles? From my experience it needs a long break in period. I'm at 13k miles, and the transmission is buttery smooth.",0
UgyFJXvO3kir6DMP8WB4AaABAg,Đặng Thành,2 weeks ago,1554384850947,Về tới việt nam bao nhiêu tiền,0,false,0,,,,,,
UgwDtTS_LJ1Vf6cYhLd4AaABAg,immanuel gulardi,2 weeks ago,1554384850948,"Camry & avalon ....
Both of them are nice looking cars...
Good job toyota...
👍👍👍👍👍",0,false,0,,,,,,
Ugx_ZL9HTJb0LBeuFmt4AaABAg,LeakoLotad,2 weeks ago,1554384850951,"Not gonna lie, I'm a sucker for quad exhaust and red interiors damn.",1,true,1,,,,,,
